genes	logFC	logCPM	LR	PValue	FDR
TRINITY_DN11425_c1_g1	4.11744468408251	1.58585311551737	121.754212755934	2.61282394665485e-28	1.26079206721883e-23
TRINITY_DN39908_c0_g1	4.72956679992764	1.01976945707401	106.453421890376	5.8655044955566e-25	1.41517026964294e-20
TRINITY_DN2961_c0_g1	2.13954103788997	6.57331289202985	78.1330140736642	9.63304264025223e-19	1.54944279854244e-14
TRINITY_DN6825_c0_g2	2.01367656421939	7.0009945672443	75.234471493874	4.1800500023949e-18	5.04260332038909e-14
TRINITY_DN95746_c0_g1	2.94065306894433	2.39586082751199	71.441148865798	2.85652331606195e-17	2.75677352186506e-13
TRINITY_DN122418_c0_g1	3.13243488183596	0.554230845334555	66.3208579866599	3.83182358983814e-16	3.08168025840083e-12
TRINITY_DN21309_c0_g1	2.37765759189645	1.11591574757903	63.6653901561029	1.47452513402853e-15	1.01645336882018e-11
TRINITY_DN56139_c0_g3	-4.08973995091748	3.08192002131011	61.4873403620657	4.45599011276318e-15	2.68774183626593e-11
TRINITY_DN65439_c0_g2	3.17891805482841	0.26016301755629	58.1858576665108	2.38487360914727e-14	1.27866323484214e-10
TRINITY_DN6825_c0_g1	2.09415140235368	3.6611665332423	49.5256354242186	1.95796451314784e-12	9.44796196174359e-09
TRINITY_DN29484_c0_g1	2.81842018038326	1.31850076301538	49.1716446110939	2.34516316755774e-12	1.0287591226121e-08
TRINITY_DN51618_c1_g1	-4.13710215675272	1.39001075858506	48.9043479704496	2.68754315134176e-12	1.08070589354038e-08
TRINITY_DN2174_c1_g1	-3.12322790416565	2.10863712281341	48.1002474914193	4.0497537274681e-12	1.50320627973266e-08
TRINITY_DN1428_c0_g2	-4.23061836607187	1.30225649528449	43.2561006890495	4.80238032629343e-11	1.65524328760688e-07
TRINITY_DN15112_c0_g1	-3.79277456552969	3.01572178939641	42.5871645460401	6.76015368346827e-11	2.17469637228052e-07
TRINITY_DN26864_c0_g1	2.05972771534529	0.19266940187242	40.8043119709833	1.68261411689264e-10	5.07455384978358e-07
TRINITY_DN23754_c0_g2	-2.84575468528349	2.16043930065312	40.5232199893012	1.94293304380244e-10	5.5149582997437e-07
TRINITY_DN16477_c0_g1	2.77541238299477	0.30043664915411	38.6089189059941	5.17817579831582e-10	1.38815386095518e-06
TRINITY_DN44300_c0_g1	-2.00148083312223	1.1194504708074	37.8280898308216	7.72612502029486e-10	1.96219177225952e-06
TRINITY_DN212335_c0_g1	3.30229145720555	1.17400066171613	36.7419015137706	1.34849638318764e-09	3.25351722371681e-06
TRINITY_DN72069_c0_g1	2.43023101637544	4.29772709902134	36.5165962217939	1.51371911250464e-09	3.47823819308567e-06
TRINITY_DN24777_c0_g1	2.10165832628187	0.90754281370245	35.6947574291657	2.30784237340893e-09	5.06193754029429e-06
TRINITY_DN95045_c0_g2	2.22174895842964	0.305001197921787	35.0611120361737	3.19518413425836e-09	6.70349631367405e-06
TRINITY_DN73802_c0_g1	-2.61978295376316	2.47030064015375	34.2762421866525	4.78183753955298e-09	9.39114439711204e-06
TRINITY_DN66810_c0_g1	3.69554835782292	3.46035551645427	34.2424978851266	4.86547457055998e-09	9.39114439711204e-06
TRINITY_DN13775_c1_g1	1.84312385625947	2.83786991186859	33.6858802107376	6.4769113543286e-09	1.18908924162227e-05
TRINITY_DN71678_c0_g1	2.5084805690978	0.658195295185418	33.6335787560914	6.65341930695925e-09	1.18908924162227e-05
TRINITY_DN9161_c0_g2	-1.74661580612049	4.83970156626484	32.9590964931506	9.41183410146936e-09	1.62199515261537e-05
TRINITY_DN5416_c1_g1	2.85045320718691	0.537475988558937	32.5096881395068	1.18599824138933e-08	1.97341928068968e-05
TRINITY_DN5747_c0_g3	-4.69564589813879	0.284116713634861	32.1039167826989	1.46142382307069e-08	2.35065150528178e-05
TRINITY_DN34453_c0_g2	7.21760191920172	5.53231345670701	31.6668264698112	1.830219387401e-08	2.84888407482736e-05
TRINITY_DN10278_c0_g1	3.1901580718251	3.61771308798252	31.5050436149182	1.98922897012775e-08	2.99963296014201e-05
TRINITY_DN165327_c0_g1	4.32057489097814	3.28981269314398	31.3878397576643	2.11300155139971e-08	3.08972051094672e-05
TRINITY_DN46177_c0_g1	3.55967791997599	4.20313095861968	31.2597915801276	2.25706211997636e-08	3.17516542213145e-05
TRINITY_DN55643_c1_g2	4.03909391491224	0.716784883029506	31.2206448351666	2.30303787819872e-08	3.17516542213145e-05
TRINITY_DN14488_c0_g1	-2.41976771644923	0.836729806217336	30.05772504359	4.19374562163104e-08	5.62125003406067e-05
TRINITY_DN344_c2_g2	1.88998933677547	6.3454511264429	29.9769207730795	4.37219340384756e-08	5.70204920295298e-05
TRINITY_DN23559_c0_g2	1.37154917217533	3.47177127612787	29.903979418695	4.53980125282466e-08	5.76483078036319e-05
TRINITY_DN192863_c0_g1	4.75516727812493	3.29799786692994	29.6403838457112	5.20100028671536e-08	6.43510430346571e-05
TRINITY_DN49080_c0_g2	-1.78554009929894	2.85319790588229	28.2913692674164	1.04360252831843e-07	0.000125894991003694
TRINITY_DN45866_c0_g1	4.62401190748637	2.04961482424496	27.8205850011385	1.33102367579264e-07	0.000156651747443166
TRINITY_DN26174_c0_g1	-1.51664029776085	4.60578654208523	27.7183629246602	1.40324361915001e-07	0.000161219327615392
TRINITY_DN12117_c0_g1	-2.58467838746822	1.05568881824502	27.5211425016483	1.55386559488601e-07	0.000174372628873557
TRINITY_DN18201_c0_g1	2.07748214702844	0.720328798577835	26.2823807171123	2.94967444656086e-07	0.000323485433509881
TRINITY_DN84010_c0_g2	2.29637222959914	0.360668144943149	25.9469726780169	3.50925321037553e-07	0.000373997875228854
TRINITY_DN31813_c0_g1	5.52692832676379	2.44647013271403	25.9163959925546	3.5652800307803e-07	0.000373997875228854
TRINITY_DN87937_c1_g1	-3.96040084534086	1.21898344560931	25.0093684693196	5.70524260798253e-07	0.000585746333628913
TRINITY_DN33585_c0_g1	1.70114005810906	1.84950876446192	24.9412267526611	5.91048809694615e-07	0.000594176442979249
TRINITY_DN131182_c0_g1	3.48786949903624	0.264355036314394	24.5060876114361	7.40754257974353e-07	0.000697259858373523
TRINITY_DN2319_c0_g1	1.21216228233815	2.65468487188932	24.4971207460033	7.44209656210757e-07	0.000697259858373523
TRINITY_DN6009_c0_g1	1.69228104933259	4.62967706717597	24.4930978770556	7.45765123689753e-07	0.000697259858373523
TRINITY_DN51837_c0_g1	4.18012044370466	0.594945984717516	24.462276695622	7.57790995432869e-07	0.000697259858373523
TRINITY_DN11452_c1_g2	1.57271367919516	1.34630156608099	24.4419243218142	7.65838531392148e-07	0.000697259858373523
TRINITY_DN376_c0_g1	6.14159507647346	7.47770027324642	24.2942716378872	8.26845938409505e-07	0.000738863405778005
TRINITY_DN82078_c0_g1	-1.94221397578449	0.219044857233835	24.0489919691132	9.39154152539458e-07	0.000823962626847982
TRINITY_DN1125_c0_g1	5.22445282956928	7.9001709694873	23.9960967675859	9.65311962879639e-07	0.000831788633157038
TRINITY_DN4303_c0_g1	8.42774734647651	7.4774842084356	23.8610508191571	1.03545737442022e-06	0.000876578248162693
TRINITY_DN77_c3_g2	2.79224580981887	0.757514225152258	23.498562091551	1.25007159162249e-06	0.00103630245859251
TRINITY_DN16541_c1_g1	-2.10625398527164	0.877897737253172	23.4725567014019	1.26708345540179e-06	0.00103630245859251
TRINITY_DN1619_c0_g1	2.61077757611856	3.80628537530191	23.1110833389301	1.52906768095413e-06	0.00122972719794601
TRINITY_DN9805_c0_g1	4.16742195182842	4.89439399636214	22.9886295643623	1.62962403054439e-06	0.0012747312677276
TRINITY_DN371_c0_g1	-2.31693851742521	2.93900557259236	22.9789372792142	1.63786087369154e-06	0.0012747312677276
TRINITY_DN14533_c0_g3	-1.37587765966705	1.18475817780315	22.9093818222842	1.69820960897493e-06	0.00130072073764248
TRINITY_DN11582_c1_g1	-1.54264056772449	0.85771264724245	22.8187612956925	1.78019385723286e-06	0.00132252561014288
TRINITY_DN36228_c0_g1	4.07853982454099	4.50039391586644	22.8153939989762	1.78331559228519e-06	0.00132252561014288
TRINITY_DN962_c9_g2	-1.70942895971278	1.85959739271297	22.759225176984	1.83620553018082e-06	0.00132252561014288
TRINITY_DN18602_c0_g1	-1.9185900983956	0.176103828795807	22.7525182813831	1.84262516515768e-06	0.00132252561014288
TRINITY_DN4711_c2_g2	-1.80969632466851	2.95958442014686	22.7306477535602	1.86371578500676e-06	0.00132252561014288
TRINITY_DN13770_c0_g1	7.53572448591797	8.49192626772098	22.5201166156559	2.07954414837735e-06	0.00142409631394736
TRINITY_DN89531_c0_g1	4.68322718241302	2.67823319285895	22.5193632080605	2.0803599019582e-06	0.00142409631394736
TRINITY_DN84704_c0_g1	4.7973809788571	3.47319799809036	22.5013448078969	2.0999652913911e-06	0.00142409631394736
TRINITY_DN8889_c0_g1	1.79007885550895	3.22779918968627	22.4786705431283	2.12490020732395e-06	0.00142409631394736
TRINITY_DN45089_c0_g2	2.89709452646872	0.968029926857391	22.4055081447106	2.20740042442752e-06	0.00145912191890857
TRINITY_DN200767_c0_g1	4.52121525057141	1.71687034299345	22.3777437053158	2.23954296414311e-06	0.00146036359718597
TRINITY_DN1054_c4_g1	-1.52304201577711	6.0056579838598	22.3010449476194	2.33079740550495e-06	0.00149919553366545
TRINITY_DN43439_c0_g1	7.89550911894843	7.18527218097918	22.2761338437894	2.36123141208136e-06	0.00149919553366545
TRINITY_DN250_c5_g1	2.97885726231441	0.244923932181543	22.0662874457856	2.63395207112093e-06	0.00165063276934895
TRINITY_DN73795_c0_g1	2.90416224666057	2.29648751816837	21.9273036815477	2.83176142708258e-06	0.0017467553110603
TRINITY_DN16771_c0_g1	3.42126833734464	1.13606409689059	21.9084391496865	2.85973534989356e-06	0.0017467553110603
TRINITY_DN46064_c0_g1	-1.75233893114223	2.40436428173178	21.8571142875431	2.93725559457609e-06	0.00177167914325843
TRINITY_DN7756_c0_g1	5.16974213254399	5.92574399941856	21.7452197712971	3.11364720312159e-06	0.00184332462249622
TRINITY_DN87611_c0_g1	1.3984272635271	1.95691213456792	21.7336772993779	3.13243708386227e-06	0.00184332462249622
TRINITY_DN55940_c0_g1	-2.33755516748458	0.354133410196263	21.7092844573478	3.17252108525552e-06	0.00184441966804723
TRINITY_DN3301_c0_g3	1.55972454259811	1.54291585849526	21.6849048093392	3.21309766367581e-06	0.0018457716031311
TRINITY_DN13472_c0_g2	3.34307876939569	0.633656083369455	21.5982531858318	3.36157851618278e-06	0.00190834834964569
TRINITY_DN49415_c0_g1	3.55918362478981	0.463677309901217	21.450833182436	3.6301824872163e-06	0.0020368700667225
TRINITY_DN25104_c0_g1	5.3770213232806	7.86590220194395	21.4048350562866	3.71832319568715e-06	0.00206234445384699
TRINITY_DN58526_c0_g2	-2.36451860565815	1.34609579797449	21.3198871761998	3.88678293483758e-06	0.00212761261031623
TRINITY_DN2643_c1_g1	1.10722213424996	1.59353004193456	21.3015294003423	3.92418291370963e-06	0.00212761261031623
TRINITY_DN82532_c0_g1	2.65394408199567	2.14883061624794	21.2078662570098	4.12069805613252e-06	0.00219421361806152
TRINITY_DN47826_c0_g1	3.64804632967872	3.04729517382756	21.1998511073833	4.13796657776761e-06	0.00219421361806152
