genes	logFC	logCPM	LR	PValue	FDR
TRINITY_DN28225_c0_g1	-4.58251336382033	5.38555683646558	94.1672593841059	2.89957305515692e-22	1.39915998203542e-17
TRINITY_DN11425_c1_g1	4.34494775058779	1.5860644100138	58.6310076205054	1.90195252785907e-14	4.58884086396557e-10
TRINITY_DN781_c0_g2	-4.36114063953304	3.11227531015727	53.6949020511259	2.34170101917078e-13	3.76654803263555e-09
TRINITY_DN2961_c0_g1	2.42422126229307	6.57331717010394	44.1236561153238	3.08272792730759e-11	2.92899854027585e-07
TRINITY_DN39908_c0_g1	4.46891508770786	1.02011387310973	44.0235708723174	3.24445199528743e-11	2.92899854027585e-07
TRINITY_DN52518_c1_g1	-7.28482013317221	4.54502712377602	43.7973511743367	3.64197605206928e-11	2.92899854027585e-07
TRINITY_DN95746_c0_g1	3.24106988630704	2.39598266813591	36.8864002903082	1.25216332666177e-09	8.19143269246658e-06
TRINITY_DN6825_c0_g2	2.16898784799345	7.00099795740743	36.728135286777	1.35805242134813e-09	8.19143269246658e-06
TRINITY_DN1054_c2_g1	-3.22014042153246	1.39117720539074	34.5255218755765	4.20698866675752e-09	2.2556003458413e-05
TRINITY_DN122418_c0_g1	3.43969867247087	0.554667149066326	34.259395782442	4.82341070243289e-09	2.32748860035197e-05
TRINITY_DN90185_c0_g5	4.15106224934449	0.492351747643915	33.0874618615955	8.81050373040248e-09	3.86492770006219e-05
TRINITY_DN21309_c0_g1	2.58260967978605	1.1161288329462	32.2929709412586	1.3259211694519e-08	5.33175000922765e-05
TRINITY_DN12912_c0_g1	-3.82414255078864	1.47088712392578	29.4154630871555	5.84097256646616e-08	0.000216807915555583
TRINITY_DN55940_c0_g1	-3.88066105364635	0.353912378576483	28.7922808986658	8.05715975213693e-08	0.000277707276199725
TRINITY_DN29239_c1_g1	-4.34793515059701	1.91154776743875	27.7400347181949	1.38761143984336e-07	0.000446385349454676
TRINITY_DN29484_c0_g1	3.20772858571298	1.31862950062302	27.1579449958414	1.87493093170158e-07	0.00056545573236455
TRINITY_DN16477_c0_g1	3.33339537527134	0.300344287370178	26.352080888351	2.84512216831805e-07	0.000807579559470702
TRINITY_DN68371_c0_g1	3.93815685098009	1.18059828746657	26.1787811878326	3.1122360887509e-07	0.000834321334592145
TRINITY_DN84010_c0_g2	3.26885660524722	0.360858845871574	25.3879131049338	4.68846533476446e-07	0.00119072213823013
TRINITY_DN3994_c0_g1	-5.10330113067264	2.56462662864328	24.6373493985906	6.91975087794483e-07	0.00166952829432175
TRINITY_DN56139_c0_g3	-4.10358828795049	3.08185515059782	24.5340038870311	7.30099331599063e-07	0.00167762919747529
TRINITY_DN18218_c1_g1	-3.51545395248669	1.2287695400058	23.9469474768149	9.90271787078525e-07	0.00208841306265048
TRINITY_DN71678_c0_g1	3.09830850801668	0.658296435640007	23.9345469775857	9.96670813974461e-07	0.00208841306265048
TRINITY_DN21224_c0_g1	3.59217720650294	4.13181380567392	23.8482753600495	1.04235225055929e-06	0.00208841306265048
TRINITY_DN1054_c4_g1	-1.97954421714482	6.00564766651706	23.7764367691518	1.0819896084524e-06	0.00208841306265048
TRINITY_DN26864_c0_g1	2.34657155659088	0.192837995767597	23.4035271742076	1.31337500028135e-06	0.00243752297167601
TRINITY_DN34966_c0_g1	4.50735398883699	1.25579259596749	22.6645852554225	1.92890439624289e-06	0.00335938759370031
TRINITY_DN11288_c0_g2	2.40154637436204	0.182031370948508	22.6443483987557	1.94932757126059e-06	0.00335938759370031
TRINITY_DN41880_c0_g3	3.90449926848912	0.315977491508828	22.3336777064784	2.2915243875763e-06	0.0038129385447623
TRINITY_DN18042_c0_g1	-4.24143363401453	1.89790718500282	21.989969683673	2.74079073649504e-06	0.00440847053996105
TRINITY_DN9201_c0_g1	-4.16954469453479	4.95213275637081	21.8012489855761	3.02403215374441e-06	0.00461973827214629
TRINITY_DN6825_c0_g1	2.16610591171351	3.66120143818483	21.7762990028189	3.06361389125629e-06	0.00461973827214629
TRINITY_DN65439_c0_g2	2.85445580107038	0.260508164558973	21.3744056880433	3.77780840890039e-06	0.00552407172615393
TRINITY_DN129870_c0_g1	1.83405271298387	1.44312273430314	20.6943636760028	5.3874350538877e-06	0.00764603797324403
TRINITY_DN49080_c0_g2	-2.22989181639414	2.85317231098026	20.5820962418148	5.71278885896674e-06	0.00787614038858802
TRINITY_DN585_c0_g1	5.02848105889093	2.18433769627166	20.2955930668721	6.63532391262052e-06	0.00877729205969422
TRINITY_DN7067_c2_g1	-2.4583349163797	0.338332895388849	20.2684255083389	6.73021524036735e-06	0.00877729205969422
TRINITY_DN2930_c3_g1	-3.66663422634025	1.41784351066513	20.1096585277765	7.31264530679203e-06	0.00928590491141954
TRINITY_DN51618_c1_g1	-4.44472459595259	1.38995819915197	20.0472542601952	7.55519307899021e-06	0.00934790479060497
TRINITY_DN9453_c0_g3	-2.75226664818873	1.6657687928408	19.924044596803	8.05804849686533e-06	0.00948453217438837
TRINITY_DN7841_c0_g1	-4.51586001349763	2.44662823469887	19.9167897904889	8.08868387921093e-06	0.00948453217438837
TRINITY_DN255186_c0_g1	4.29925475890119	1.21441619813422	19.877814233821	8.25528145489103e-06	0.00948453217438837
TRINITY_DN71905_c0_g5	3.08887145598118	0.212408478613123	19.2245637700011	1.16208432056395e-05	0.0127598480665221
