genes	logFC	logCPM	LR	PValue	FDR
TRINITY_DN11425_c1_g1	3.89811855932874	1.5860644100138	53.6614018218106	2.38197288461326e-13	7.40015128407604e-09
TRINITY_DN39908_c0_g1	4.86143859691071	1.02011387310973	53.1647313094103	3.06716594855392e-13	7.40015128407604e-09
TRINITY_DN23754_c0_g2	-3.58650471894912	2.16033028298346	46.4684392740209	9.31060618152714e-12	1.4975799689447e-07
TRINITY_DN15112_c0_g1	-4.50782838479101	3.01556247595028	42.1323197787427	8.53016772626e-11	1.02903678365738e-06
TRINITY_DN56139_c0_g3	-4.2038014072175	3.08185515059782	39.4661391515683	3.33797523011628e-10	3.22141313508062e-06
TRINITY_DN192863_c0_g1	5.35028238553142	3.29802236805221	37.816294557596	7.77298053412784e-10	6.25129004489675e-06
TRINITY_DN1428_c0_g2	-4.72488338643267	1.30176038027288	33.0676165638134	8.90089086234096e-09	5.67144312220508e-05
TRINITY_DN2961_c0_g1	1.91159677067285	6.57331717010394	32.8457095102638	9.97710324708101e-09	5.67144312220508e-05
TRINITY_DN6825_c0_g2	1.88116647133996	7.00099795740743	32.7320281472428	1.05779807062307e-08	5.67144312220508e-05
TRINITY_DN65439_c0_g2	3.33431841756326	0.260508164558973	31.6286980844556	1.86650794678789e-08	9.00664744643028e-05
TRINITY_DN24777_c0_g1	2.59485647381369	0.907647782252971	30.1743068444769	3.94906585020254e-08	0.000173234748668794
TRINITY_DN95746_c0_g1	2.69764383873403	2.39598266813591	29.8279862915778	4.721272641766e-08	0.000187534551610788
TRINITY_DN10278_c0_g1	3.80819230478738	3.6176769873177	29.6966038839442	5.05232555008962e-08	0.000187534551610788
TRINITY_DN2174_c1_g1	-3.13081323703915	2.10849301954084	27.6283377743491	1.47009199049059e-07	0.000506698706493807
TRINITY_DN122418_c0_g1	2.87188654009479	0.554667149066326	27.335343484886	1.71056067518893e-07	0.000550275965470444
TRINITY_DN21309_c0_g1	2.18186670477368	1.1161288329462	26.9683916758776	2.06809885740796e-07	0.000591506182027854
TRINITY_DN9161_c0_g2	-1.99442575264661	4.8396813979442	26.9536889008389	2.08389047425571e-07	0.000591506182027854
TRINITY_DN14640_c1_g1	2.42921188622242	1.58415661247623	26.3130970319852	2.90313264995882e-07	0.000778265349395071
TRINITY_DN24378_c0_g1	-5.92617450027916	3.75138465761899	26.072507114643	3.28833131027927e-07	0.000835132310769558
TRINITY_DN110427_c0_g2	1.98348906551709	5.46779570251388	25.8814982858588	3.63032099097818e-07	0.000875887545493306
TRINITY_DN6643_c0_g1	-3.97163280175177	1.28268306774384	25.785016874214	3.81639644168318e-07	0.000876935209033239
TRINITY_DN44300_c0_g1	-2.23274740530371	1.11937180130777	25.1875120076842	5.20179369988603e-07	0.00114094251451955
TRINITY_DN1831_c0_g1	5.88855392746243	4.87816760930795	24.8047813913816	6.34399090237692e-07	0.00133096929131868
TRINITY_DN43893_c0_g2	-1.81086297794048	2.36153930032051	24.6709431824698	6.80017331302932e-07	0.00136723151269549
TRINITY_DN24837_c1_g1	-2.49079607039481	0.588980308526276	24.3380720666686	8.08256741215671e-07	0.00156006483162484
TRINITY_DN46177_c0_g1	3.69878483714671	4.20316753049499	24.0291230589081	9.48895349489687e-07	0.0017610767767029
TRINITY_DN51618_c1_g1	-3.82405823894787	1.38995819915197	23.841849706747	1.04583753948508e-06	0.00186910535667826
TRINITY_DN10353_c0_g1	2.55006062093081	0.486320203608197	23.6617193460328	1.14844390405782e-06	0.00197917900522878
TRINITY_DN962_c9_g2	-2.24109998829591	1.85950236147463	23.3986265633942	1.31672514215652e-06	0.00211175730348992
TRINITY_DN72069_c0_g1	2.78393745836978	4.29772543669805	23.3825360709375	1.32778526561494e-06	0.00211175730348992
TRINITY_DN77810_c0_g1	4.78722702251724	1.43272505331774	23.3411478872355	1.35666424354846e-06	0.00211175730348992
TRINITY_DN13472_c0_g2	3.91190421450634	0.634374745118227	22.7532286134713	1.84194419248582e-06	0.00277753672075659
TRINITY_DN6825_c0_g1	2.03793740643423	3.66120143818483	22.5095125384833	2.0910553178848e-06	0.00301352365446903
TRINITY_DN42703_c0_g1	-1.66768828803692	1.11899035266312	22.4800785290101	2.12334323065335e-06	0.00301352365446903
TRINITY_DN8254_c0_g3	2.31669124607048	0.44152780746745	22.186239296575	2.47440923469316e-06	0.0034114326631681
TRINITY_DN95045_c0_g2	2.36831966233039	0.305045440930447	21.6440206931696	3.28231592922222e-06	0.00429793078223223
TRINITY_DN98583_c0_g1	3.23944179511657	1.24963600076465	21.636302887281	3.29554936259362e-06	0.00429793078223223
TRINITY_DN84704_c0_g1	6.03924904331893	3.47325605463193	21.1614641396968	4.22168289762761e-06	0.00528476026187155
TRINITY_DN19423_c1_g2	-2.47166504670634	0.498426205780924	21.1390872535074	4.27126559897605e-06	0.00528476026187155
TRINITY_DN42271_c0_g1	2.65934401528109	0.685375095183949	20.7921834274013	5.11914713569118e-06	0.00617548314714106
TRINITY_DN7224_c0_g1	-4.31958116998749	0.596773507863189	20.7080191882238	5.34915128221182e-06	0.00629555965784998
TRINITY_DN10198_c0_g1	3.37917276088478	3.00823804781354	20.6583207608383	5.48980888134251e-06	0.00630726756572147
TRINITY_DN256711_c0_g1	4.15563692276766	2.00836409679675	20.4103723216483	6.24901806430567e-06	0.00701256087616293
TRINITY_DN110062_c1_g1	3.41396475643292	1.2849816673577	20.3497412094202	6.45018110500702e-06	0.00707379634184111
TRINITY_DN77_c3_g2	3.63239728746616	0.757464823854252	19.7897127783728	8.64466938225422e-06	0.00902804259272198
TRINITY_DN73802_c0_g1	-2.66174804959603	2.47029453218924	19.7837676545938	8.67160010277214e-06	0.00902804259272198
TRINITY_DN53976_c0_g1	-3.18917806044167	0.22615765282837	19.7571032822171	8.79342649019631e-06	0.00902804259272198
TRINITY_DN1054_c4_g1	-1.4851854656424	6.00564766651706	19.6898254962919	9.10850370135313e-06	0.00915670286677279
TRINITY_DN14488_c0_g1	-2.66831510739485	0.836535029452904	19.5785684755927	9.65461523859793e-06	0.00950762864741438
TRINITY_DN18863_c0_g1	-2.91441288435752	2.82271354994879	19.4541849695787	1.03041817348025e-05	0.00992898364008731
TRINITY_DN5747_c0_g3	-4.91536428605141	0.283368693511929	19.4092651707257	1.05494022747891e-05	0.00992898364008731
TRINITY_DN29484_c0_g1	2.49958188937804	1.31862950062302	19.3822346411967	1.06997792780814e-05	0.00992898364008731
TRINITY_DN55684_c0_g1	-1.71073054828269	2.01474777050487	19.2733634266386	1.1327567694975e-05	0.010040270828858
TRINITY_DN36171_c1_g1	3.62420180628602	1.13893903704511	19.2672198505742	1.1364076421972e-05	0.010040270828858
TRINITY_DN102983_c0_g1	-2.20493034229297	2.00996719925797	19.2538528711437	1.14439195836032e-05	0.010040270828858
TRINITY_DN9717_c0_g2	6.27335823581573	2.07550892789393	19.1441645355519	1.21207500219951e-05	0.0104441905635955
TRINITY_DN34453_c0_g2	7.9889846414281	5.53234933134239	19.1065687277859	1.23618688481038e-05	0.0104650810420421
TRINITY_DN5416_c1_g1	3.00662519800727	0.537768593129745	19.0166792234466	1.29580808828607e-05	0.0107806764641649
TRINITY_DN33632_c6_g1	-3.96432682831932	0.788644334316262	18.8153173084323	1.44005956737825e-05	0.0117777346380119
TRINITY_DN2480_c0_g1	-3.56696616818557	0.661651376645395	18.6970996869187	1.53215356666566e-05	0.0123220897009808
TRINITY_DN49415_c0_g1	4.34072743782127	0.463405820179061	18.6539273322263	1.56724108895877e-05	0.0123534965122985
TRINITY_DN28034_c0_g1	3.3413014510328	1.86663621501952	18.6297277137059	1.58726071157315e-05	0.0123534965122985
TRINITY_DN4303_c0_g1	8.50833149023365	7.47747277250584	18.4626048310162	1.73270984729926e-05	0.013271457297076
TRINITY_DN1708_c0_g1	4.28282561164748	0.529494377489662	18.4139570441147	1.77751243188369e-05	0.0134018882637681
TRINITY_DN299678_c0_g1	2.51295217336241	0.425745553922762	18.2914628027315	1.89554753777458e-05	0.0140064373845047
TRINITY_DN1619_c0_g1	2.78333315755941	3.80632502142619	18.2449890190386	1.94236264106579e-05	0.0140064373845047
TRINITY_DN3729_c0_g2	2.76463455981981	0.194073076818035	18.2426256916739	1.94477412185895e-05	0.0140064373845047
TRINITY_DN13770_c0_g1	7.61709851203638	8.49192062875294	18.0861330215836	2.11133496596177e-05	0.0145932885502878
TRINITY_DN5875_c1_g3	-2.60185213895809	3.90036022046905	18.0430454678445	2.15966104399453e-05	0.0145932885502878
TRINITY_DN92513_c0_g3	3.45511694774241	0.430658655595988	18.042273764348	2.16053662534708e-05	0.0145932885502878
TRINITY_DN2370_c0_g1	5.15315204133122	3.24891481774275	18.0361836373434	2.16745906023963e-05	0.0145932885502878
TRINITY_DN27797_c5_g1	1.82193282882623	1.88152642377424	18.0274100953767	2.17747083272002e-05	0.0145932885502878
TRINITY_DN49080_c0_g2	-1.69398513925361	2.85317231098026	17.8762221573945	2.357482873546e-05	0.0155832847369985
TRINITY_DN344_c2_g2	2.02814411903886	6.3454480300584	17.7741853437231	2.48735283684227e-05	0.0161332868397744
TRINITY_DN15302_c0_g1	3.35937402828021	0.243995487780596	17.7513517319335	2.51738563639582e-05	0.0161332868397744
TRINITY_DN1125_c0_g1	5.83526958524274	7.90016937204295	17.7240708666435	2.55374599226117e-05	0.0161332868397744
TRINITY_DN8658_c1_g1	-1.55437188492634	3.81374034478872	17.6992346940631	2.58730675235554e-05	0.0161332868397744
TRINITY_DN3231_c0_g1	-1.65900035254255	4.83350971675579	17.6680640483125	2.63005508513455e-05	0.0161332868397744
TRINITY_DN13775_c1_g1	1.93300634749087	2.83790590828595	17.6599540324106	2.64129328209511e-05	0.0161332868397744
TRINITY_DN1494_c0_g2	2.0131555546168	3.04147863725811	17.5923371162765	2.73688958549443e-05	0.016508233757306
TRINITY_DN43439_c0_g1	7.95261762582036	7.1852582054695	17.5389614307133	2.81480145659241e-05	0.0167520270107185
TRINITY_DN685_c0_g1	2.83157823422174	4.47043916224661	17.5015521152549	2.87073228994264e-05	0.0167520270107185
TRINITY_DN27043_c0_g1	1.11018496890036	3.62820137831475	17.4944626744766	2.88145696085223e-05	0.0167520270107185
