module	pvalGeo	pvalSex	nPaths	nSynap
black	0.008	0.300	33	0
blue	0.200	0.008	15	1
brown	0.400	0.500	8	0
cyan	0.300	0.300	40	3
darkgreen	0.200	0.200	3	0
darkgrey	0.200	0.500	40	0
darkorange	0.200	0.600	40	6
darkred	0.006	0.300	28	15
darkturquoise	0.400	0.300	6	0
green	0.900	0.300	31	0
greenyellow	0.400	0.700	22	0
grey60	0.400	0.400	16	0
lightcyan	0.500	0.200	33	0
lightgreen	0.300	0.900	41	0
lightyellow	0.020	0.600	1	0
orange	0.200	0.400	38	0
purple	0.0000002	0.900	27	9
red	0.0002	0.600	25	0
royalblue	0.060	0.400	3	0
saddlebrown	0.200	0.500	25	5
skyblue	0.400	1.000	27	6
steelblue	0.200	0.500	12	0
tan	0.700	0.200	24	2
turquoise	0.800	0.050	7	3
white	0.200	0.100	40	11
