mods			testStats	pvalues2	qvalues2
1	black	0.0259036839182319	0.17988669387661	0	1	1
2	blue	0.161898024488949	0.0259036839182319	1	0.814	1
3	brown	0.185026313701656	0.202372530611186	0	1	1
4	cyan	0.17988669387661	0.17988669387661	3	0.8081	1
5	darkgreen	0.161898024488949	0.161898024488949	0	1	1
6	darkgrey	0.161898024488949	0.202372530611186	0	1	1
7	darkorange	0.161898024488949	0.225904220217138	6	0.2345	0.8375
8	darkred	0.0259036839182319	0.17988669387661	15	0	0
9	darkturquoise	0.185026313701656	0.17988669387661	0	1	1
10	green	0.29736371844909	0.17988669387661	0	1	1
11	greenyellow	0.185026313701656	0.251841371427254	0	1	1
12	grey60	0.185026313701656	0.185026313701656	0	1	1
13	lightcyan	0.202372530611186	0.161898024488949	0	1	1
14	lightgreen	0.17988669387661	0.29736371844909	0	1	1
15	lightyellow	0.053966008162983	0.225904220217138	0	1	1
16	orange	0.161898024488949	0.185026313701656	0	1	1
17	purple	0	0.29736371844909	9	7e-04	0.00875
18	red	0	0.225904220217138	0	1	1
19	royalblue	0.121423518366712	0.185026313701656	0	1	1
20	saddlebrown	0.161898024488949	0.202372530611186	5	0.1132	0.471666666666667
21	skyblue	0.185026313701656	0.323796048977898	6	0.0513	0.2565
22	steelblue	0.161898024488949	0.202372530611186	0	1	1
23	tan	0.251841371427254	0.161898024488949	2	0.744	1
24	turquoise	0.281561781719911	0.115641446063535	3	0.0285	0.178125
25	white	0.161898024488949	0.161898024488949	11	0.0015	0.0125
