gene_id,sprot_Top_BLASTX_hit
TRINITY_DN0_c0_g3,SYNEM_HUMAN
TRINITY_DN0_c0_g5,ZFP91_HUMAN
TRINITY_DN0_c1_g1,SH3L3_HUMAN
TRINITY_DN100002_c0_g1,COE1A_DANRE
TRINITY_DN100003_c0_g1,HMX2_HUMAN
TRINITY_DN100003_c1_g1,HMX2_HUMAN
TRINITY_DN100003_c2_g1,HMX3_XENTR
TRINITY_DN100006_c0_g1,ZBED6_HUMAN
TRINITY_DN10000_c0_g1,LHPL5_CHICK
TRINITY_DN100010_c0_g1,LORF2_HUMAN
TRINITY_DN100010_c1_g1,LIN1_NYCCO
TRINITY_DN100010_c1_g2,LIN1_NYCCO
TRINITY_DN100010_c1_g3,LIN1_NYCCO
TRINITY_DN100010_c1_g4,LORF2_MOUSE
TRINITY_DN100016_c0_g1,DI3L2_XENTR
TRINITY_DN10001_c0_g2,PTR1B_XENLA
TRINITY_DN10001_c0_g4,PTR1B_XENLA
TRINITY_DN100029_c0_g1,LORF2_HUMAN
TRINITY_DN100039_c0_g1,LAR1B_HUMAN
TRINITY_DN100046_c0_g1,V2R26_MOUSE
TRINITY_DN100047_c0_g1,SYLC_HUMAN
TRINITY_DN10004_c0_g1,CAS1B_XENLA
TRINITY_DN10004_c0_g2,CAS1B_XENLA
TRINITY_DN100054_c0_g1,CCD25_XENTR
TRINITY_DN100063_c1_g1,ASAP1_RAT
TRINITY_DN100064_c0_g1,CTR2_CHICK
TRINITY_DN100067_c0_g1,PADI2_RAT
TRINITY_DN10006_c0_g2,S29A1_RAT
TRINITY_DN100093_c0_g1,PP1RA_XENLA
TRINITY_DN100093_c1_g1,PP1RA_XENLA
TRINITY_DN100093_c2_g1,PP1RA_XENLA
TRINITY_DN100104_c0_g1,LIN1_NYCCO
TRINITY_DN100105_c0_g1,BHMT1_XENLA
TRINITY_DN100105_c0_g2,BHMT1_XENLA
TRINITY_DN100105_c0_g3,BHMT1_XENLA
TRINITY_DN100105_c0_g4,BHMT1_XENLA
TRINITY_DN100107_c0_g2,LIN1_NYCCO
TRINITY_DN10010_c1_g1,SYNG1_MACFA
TRINITY_DN10010_c5_g1,MYF6_XENLA
